iter	Passed	Remaining
944	10351	602
945	10360	591
946	10369	580
947	10377	569
948	10387	558
949	10396	547
950	10407	536
951	10420	525
952	10435	514
953	10448	503
954	10470	493
955	10482	482
956	10491	471
957	10503	460
958	10520	449
959	10530	438
960	10539	427
961	10602	418
962	10696	410
963	10714	400
964	10784	391
965	10843	381
966	10856	370
967	10891	360
968	10925	349
969	10939	338
970	10977	327
971	11016	317
972	11027	306
973	11038	294
974	11047	283
975	11058	271
976	11070	260
977	11082	249
978	11093	237
979	11106	226
980	11120	215
981	11137	204
982	11147	192
983	11164	181
984	11177	170
985	11189	158
986	11202	147
987	11215	136
988	11231	124
989	11245	113
990	11267	102
991	11281	90
992	11292	79
993	11301	68
994	11318	56
995	11331	45
996	11342	34
997	11354	22
998	11365	11
999	11376	0
